OpportunityName,AccountName,StageName,CloseDate,Amount
Opportunity_50,Account_50,Proposal/Price Quote,2026-09-05,49537
Opportunity_51,Account_51,Closed Won,2026-05-11,41837
Opportunity_52,Account_52,Closed Lost,2026-02-28,69136
Opportunity_53,Account_53,Closed Won,2026-11-21,40277
Opportunity_54,Account_54,Qualification,2026-07-07,69629
Opportunity_55,Account_55,Closed Won,2026-01-10,5900
Opportunity_56,Account_56,Proposal/Price Quote,2026-07-19,89395
Opportunity_57,Account_57,Proposal/Price Quote,2026-01-12,15730
Opportunity_58,Account_58,Closed Won,2026-10-30,88624
Opportunity_59,Account_59,Proposal/Price Quote,2026-03-15,35626
Opportunity_60,Account_60,Negotiation/Review,2026-03-07,59258
Opportunity_61,Account_61,Proposal/Price Quote,2026-10-25,40255
Opportunity_62,Account_62,Proposal/Price Quote,2026-02-14,54103
Opportunity_63,Account_63,Negotiation/Review,2026-09-18,13851
Opportunity_64,Account_64,Negotiation/Review,2026-11-10,24173
Opportunity_65,Account_65,Closed Lost,2026-01-15,26201
Opportunity_66,Account_66,Closed Won,2026-07-27,94174
Opportunity_67,Account_67,Closed Won,2026-08-04,98068
Opportunity_68,Account_68,Closed Lost,2026-02-22,71517
Opportunity_69,Account_69,Closed Won,2026-07-10,87695
Opportunity_70,Account_70,Qualification,2026-03-07,85518
Opportunity_71,Account_71,Negotiation/Review,2026-10-28,13004
Opportunity_72,Account_72,Negotiation/Review,2026-03-12,45622
Opportunity_73,Account_73,Closed Won,2026-10-21,4773
Opportunity_74,Account_74,Proposal/Price Quote,2026-03-18,51438
Opportunity_75,Account_75,Qualification,2026-02-24,41102
Opportunity_76,Account_76,Closed Lost,2026-05-22,66192
Opportunity_77,Account_77,Closed Lost,2026-03-18,1809
Opportunity_78,Account_78,Qualification,2026-05-30,26446
Opportunity_79,Account_79,Negotiation/Review,2026-05-16,47133
Opportunity_80,Account_80,Proposal/Price Quote,2026-10-01,80031
Opportunity_81,Account_81,Qualification,2026-11-19,99728
Opportunity_82,Account_82,Closed Lost,2026-10-26,45144
Opportunity_83,Account_83,Closed Lost,2026-02-09,88591
Opportunity_84,Account_84,Closed Won,2026-03-02,78739
Opportunity_85,Account_85,Proposal/Price Quote,2025-12-06,73299
Opportunity_86,Account_86,Closed Won,2026-10-13,19808
Opportunity_87,Account_87,Closed Lost,2026-11-24,84444
Opportunity_88,Account_88,Qualification,2026-09-19,5824
Opportunity_89,Account_89,Closed Won,2026-07-18,7984
Opportunity_90,Account_90,Negotiation/Review,2026-08-14,75309
Opportunity_91,Account_91,Closed Won,2026-04-19,3110
Opportunity_92,Account_92,Qualification,2026-07-17,67586
Opportunity_93,Account_93,Closed Lost,2026-05-07,73615
Opportunity_94,Account_94,Qualification,2026-06-18,11142
Opportunity_95,Account_95,Negotiation/Review,2026-02-26,91859
Opportunity_96,Account_96,Negotiation/Review,2026-08-28,2449
Opportunity_97,Account_97,Closed Won,2026-05-28,93837
Opportunity_98,Account_98,Negotiation/Review,2026-06-08,63152
Opportunity_99,Account_99,Proposal/Price Quote,2025-12-15,33541
Opportunity_100,Account_100,Closed Won,2026-04-11,97353
Opportunity_101,Account_101,Qualification,2026-10-16,72233
Opportunity_102,Account_102,Closed Won,2026-05-14,21986
Opportunity_103,Account_103,Closed Lost,2026-08-29,29972
Opportunity_104,Account_104,Closed Lost,2026-05-25,18187
Opportunity_105,Account_105,Qualification,2026-07-29,70838
Opportunity_106,Account_106,Closed Lost,2026-02-27,68038
Opportunity_107,Account_107,Closed Won,2026-07-13,94242
Opportunity_108,Account_108,Qualification,2026-04-05,51826
Opportunity_109,Account_109,Proposal/Price Quote,2026-08-09,9565
Opportunity_110,Account_110,Qualification,2026-02-22,76102
Opportunity_111,Account_111,Negotiation/Review,2026-02-17,70847
Opportunity_112,Account_112,Proposal/Price Quote,2025-12-16,92424
Opportunity_113,Account_113,Negotiation/Review,2026-06-30,38790
Opportunity_114,Account_114,Negotiation/Review,2026-02-06,66879
Opportunity_115,Account_115,Negotiation/Review,2025-12-17,63239
Opportunity_116,Account_116,Qualification,2026-03-22,1612
Opportunity_117,Account_117,Qualification,2026-01-31,90223
Opportunity_118,Account_118,Qualification,2026-03-15,23395
Opportunity_119,Account_119,Qualification,2025-12-19,41343
Opportunity_120,Account_120,Proposal/Price Quote,2026-04-06,70492
Opportunity_121,Account_121,Qualification,2026-07-07,40825
Opportunity_122,Account_122,Closed Won,2026-06-09,1614
Opportunity_123,Account_123,Closed Won,2026-08-28,49995
Opportunity_124,Account_124,Proposal/Price Quote,2026-07-26,53313
Opportunity_125,Account_125,Closed Won,2026-05-05,65645
Opportunity_126,Account_126,Qualification,2025-12-15,16035
Opportunity_127,Account_127,Proposal/Price Quote,2026-09-05,16633
Opportunity_128,Account_128,Qualification,2026-03-16,45470
Opportunity_129,Account_129,Closed Won,2026-07-25,76674
Opportunity_130,Account_130,Qualification,2026-05-17,28605
Opportunity_131,Account_131,Negotiation/Review,2026-09-11,53530
Opportunity_132,Account_132,Proposal/Price Quote,2026-11-18,69842
Opportunity_133,Account_133,Proposal/Price Quote,2026-10-30,95390
Opportunity_134,Account_134,Qualification,2026-04-20,67607
Opportunity_135,Account_135,Closed Lost,2026-07-14,90152
Opportunity_136,Account_136,Proposal/Price Quote,2026-10-12,53935
Opportunity_137,Account_137,Proposal/Price Quote,2025-12-28,40864
Opportunity_138,Account_138,Proposal/Price Quote,2025-12-07,42729
Opportunity_139,Account_139,Closed Lost,2026-09-29,30459
Opportunity_140,Account_140,Qualification,2025-12-16,35901
Opportunity_141,Account_141,Proposal/Price Quote,2026-11-20,84336
Opportunity_142,Account_142,Proposal/Price Quote,2026-09-23,38354
Opportunity_143,Account_143,Closed Won,2026-01-27,94181
Opportunity_144,Account_144,Closed Lost,2026-05-17,42923
Opportunity_145,Account_145,Closed Won,2026-11-28,59891
Opportunity_146,Account_146,Qualification,2026-07-15,45145
Opportunity_147,Account_147,Closed Lost,2026-07-31,9635
Opportunity_148,Account_148,Closed Lost,2025-12-13,32188
Opportunity_149,Account_149,Proposal/Price Quote,2026-11-19,14690
Opportunity_150,Account_150,Proposal/Price Quote,2026-06-21,70102
Opportunity_151,Account_151,Closed Lost,2026-05-17,10129
Opportunity_152,Account_152,Closed Lost,2026-02-26,89758
Opportunity_153,Account_153,Closed Won,2026-10-31,94970
Opportunity_154,Account_154,Negotiation/Review,2026-03-17,41186
Opportunity_155,Account_155,Proposal/Price Quote,2026-07-20,63345
Opportunity_156,Account_156,Closed Lost,2026-08-13,27990
Opportunity_157,Account_157,Qualification,2026-01-09,21522
Opportunity_158,Account_158,Closed Lost,2026-07-08,37340
Opportunity_159,Account_159,Negotiation/Review,2026-09-27,86380
Opportunity_160,Account_160,Proposal/Price Quote,2026-04-06,59906
Opportunity_161,Account_161,Closed Lost,2026-09-26,76947
Opportunity_162,Account_162,Closed Lost,2026-03-03,63645
Opportunity_163,Account_163,Proposal/Price Quote,2026-08-05,44719
Opportunity_164,Account_164,Closed Won,2026-10-12,39889
Opportunity_165,Account_165,Negotiation/Review,2026-04-19,47659
Opportunity_166,Account_166,Closed Won,2026-05-31,96723
Opportunity_167,Account_167,Qualification,2026-02-14,52063
Opportunity_168,Account_168,Proposal/Price Quote,2026-02-21,84497
Opportunity_169,Account_169,Negotiation/Review,2026-01-11,46969
Opportunity_170,Account_170,Negotiation/Review,2025-12-21,92046
Opportunity_171,Account_171,Proposal/Price Quote,2025-12-18,12777
Opportunity_172,Account_172,Closed Lost,2026-06-28,16953
Opportunity_173,Account_173,Negotiation/Review,2026-02-11,88510
Opportunity_174,Account_174,Closed Lost,2026-03-21,74000
Opportunity_175,Account_175,Closed Lost,2026-01-27,19711
Opportunity_176,Account_176,Negotiation/Review,2026-04-08,32513
Opportunity_177,Account_177,Proposal/Price Quote,2026-10-04,78455
Opportunity_178,Account_178,Qualification,2026-10-20,6211
Opportunity_179,Account_179,Proposal/Price Quote,2026-06-05,12973
Opportunity_180,Account_180,Negotiation/Review,2026-02-10,86571
Opportunity_181,Account_181,Closed Won,2026-04-25,32029
Opportunity_182,Account_182,Qualification,2026-05-09,98887
Opportunity_183,Account_183,Closed Won,2026-11-21,40163
Opportunity_184,Account_184,Closed Lost,2026-09-14,61160
Opportunity_185,Account_185,Proposal/Price Quote,2026-11-18,74332
Opportunity_186,Account_186,Closed Won,2026-09-14,19398
Opportunity_187,Account_187,Proposal/Price Quote,2026-05-29,32396
Opportunity_188,Account_188,Closed Won,2026-07-17,71703
Opportunity_189,Account_189,Negotiation/Review,2026-01-17,72185
Opportunity_190,Account_190,Proposal/Price Quote,2026-01-07,29285
Opportunity_191,Account_191,Closed Won,2026-07-15,79241
Opportunity_192,Account_192,Closed Won,2026-01-17,68826
Opportunity_193,Account_193,Negotiation/Review,2026-05-29,33632
Opportunity_194,Account_194,Negotiation/Review,2026-03-14,61722
Opportunity_195,Account_195,Negotiation/Review,2026-06-15,54743
Opportunity_196,Account_196,Proposal/Price Quote,2026-03-22,71268
Opportunity_197,Account_197,Closed Won,2025-12-06,46616
Opportunity_198,Account_198,Proposal/Price Quote,2026-06-30,82158
Opportunity_199,Account_199,Closed Lost,2026-05-15,43076
Opportunity_200,Account_200,Proposal/Price Quote,2026-07-12,57911
Opportunity_201,Account_201,Negotiation/Review,2026-05-22,2479
Opportunity_202,Account_202,Proposal/Price Quote,2026-01-09,54596
Opportunity_203,Account_203,Closed Won,2026-02-10,8632
Opportunity_204,Account_204,Closed Won,2026-11-25,84836
Opportunity_205,Account_205,Proposal/Price Quote,2026-08-24,22552
Opportunity_206,Account_206,Closed Lost,2026-07-21,73473
Opportunity_207,Account_207,Closed Won,2026-03-26,54379
Opportunity_208,Account_208,Closed Won,2026-04-21,13371
Opportunity_209,Account_209,Closed Lost,2026-01-07,30185
Opportunity_210,Account_210,Closed Lost,2026-01-19,35565
Opportunity_211,Account_211,Negotiation/Review,2026-09-25,88417
Opportunity_212,Account_212,Negotiation/Review,2026-01-08,98770
Opportunity_213,Account_213,Qualification,2026-01-05,38312
Opportunity_214,Account_214,Proposal/Price Quote,2026-08-18,78323
Opportunity_215,Account_215,Proposal/Price Quote,2026-08-27,65378
Opportunity_216,Account_216,Closed Won,2026-01-16,38221
Opportunity_217,Account_217,Negotiation/Review,2026-05-17,40675
Opportunity_218,Account_218,Negotiation/Review,2026-06-16,76259
Opportunity_219,Account_219,Closed Won,2026-10-24,36409
Opportunity_220,Account_220,Proposal/Price Quote,2026-01-23,60981
Opportunity_221,Account_221,Proposal/Price Quote,2026-04-10,12454
Opportunity_222,Account_222,Closed Won,2026-04-12,70427
Opportunity_223,Account_223,Qualification,2026-09-18,50157
Opportunity_224,Account_224,Closed Won,2026-11-27,28441
Opportunity_225,Account_225,Closed Lost,2026-09-13,50167
Opportunity_226,Account_226,Closed Lost,2026-10-23,96032
Opportunity_227,Account_227,Proposal/Price Quote,2026-05-28,44894
Opportunity_228,Account_228,Negotiation/Review,2026-05-06,64212
Opportunity_229,Account_229,Closed Won,2026-05-06,81196
Opportunity_230,Account_230,Closed Lost,2026-01-23,32933
Opportunity_231,Account_231,Closed Won,2026-09-26,2436
Opportunity_232,Account_232,Negotiation/Review,2026-03-04,39330
Opportunity_233,Account_233,Qualification,2026-09-11,36695
Opportunity_234,Account_234,Closed Lost,2026-10-08,94695
Opportunity_235,Account_235,Proposal/Price Quote,2026-02-11,55195
Opportunity_236,Account_236,Closed Lost,2026-06-16,23942
Opportunity_237,Account_237,Closed Lost,2026-10-20,99112
Opportunity_238,Account_238,Closed Won,2026-05-12,13251
Opportunity_239,Account_239,Closed Won,2026-09-19,70007
Opportunity_240,Account_240,Qualification,2026-05-24,56094
Opportunity_241,Account_241,Closed Won,2026-06-14,39025
Opportunity_242,Account_242,Negotiation/Review,2026-01-10,90296
Opportunity_243,Account_243,Closed Lost,2026-05-14,63293
Opportunity_244,Account_244,Proposal/Price Quote,2026-01-30,11391
Opportunity_245,Account_245,Proposal/Price Quote,2026-11-16,1692
Opportunity_246,Account_246,Qualification,2026-08-25,36148
Opportunity_247,Account_247,Qualification,2026-04-20,6895
Opportunity_248,Account_248,Closed Won,2026-06-29,5102
Opportunity_249,Account_249,Proposal/Price Quote,2026-09-16,40037
Opportunity_250,Account_250,Closed Lost,2026-08-20,37232
Opportunity_251,Account_251,Proposal/Price Quote,2026-06-13,54714
Opportunity_252,Account_252,Closed Won,2026-08-10,24737
Opportunity_253,Account_253,Qualification,2026-07-04,29026
Opportunity_254,Account_254,Negotiation/Review,2026-06-05,62628
Opportunity_255,Account_255,Closed Won,2026-03-10,82874
Opportunity_256,Account_256,Qualification,2026-05-19,89419
Opportunity_257,Account_257,Closed Won,2026-01-27,91586
Opportunity_258,Account_258,Closed Won,2026-06-30,59379
Opportunity_259,Account_259,Negotiation/Review,2026-11-22,43827
Opportunity_260,Account_260,Qualification,2026-01-24,73312
Opportunity_261,Account_261,Closed Lost,2026-01-09,87547
Opportunity_262,Account_262,Proposal/Price Quote,2026-11-23,89421
Opportunity_263,Account_263,Closed Won,2026-09-21,9228
Opportunity_264,Account_264,Closed Lost,2026-01-06,89811
Opportunity_265,Account_265,Proposal/Price Quote,2025-12-15,49697
Opportunity_266,Account_266,Closed Lost,2026-06-10,24819
Opportunity_267,Account_267,Closed Won,2026-01-07,92212
Opportunity_268,Account_268,Negotiation/Review,2026-05-14,73647
Opportunity_269,Account_269,Proposal/Price Quote,2026-01-24,14434
Opportunity_270,Account_270,Qualification,2026-02-26,60037
Opportunity_271,Account_271,Closed Lost,2026-07-12,28147
Opportunity_272,Account_272,Negotiation/Review,2025-12-25,41632
Opportunity_273,Account_273,Qualification,2026-06-16,51323
Opportunity_274,Account_274,Closed Lost,2026-09-12,72244
Opportunity_275,Account_275,Proposal/Price Quote,2026-05-12,53264
Opportunity_276,Account_276,Closed Won,2026-11-29,90319
Opportunity_277,Account_277,Proposal/Price Quote,2026-02-11,12184
Opportunity_278,Account_278,Closed Won,2026-09-18,37354
Opportunity_279,Account_279,Closed Lost,2026-01-09,4675
Opportunity_280,Account_280,Qualification,2026-09-25,25324
Opportunity_281,Account_281,Negotiation/Review,2026-10-12,93755
Opportunity_282,Account_282,Proposal/Price Quote,2025-12-26,88725
Opportunity_283,Account_283,Closed Lost,2026-07-18,74106
Opportunity_284,Account_284,Closed Won,2026-03-21,12200
Opportunity_285,Account_285,Closed Lost,2026-09-24,66886
Opportunity_286,Account_286,Negotiation/Review,2026-03-02,11144
Opportunity_287,Account_287,Negotiation/Review,2026-04-19,61969
Opportunity_288,Account_288,Proposal/Price Quote,2026-10-15,62134
Opportunity_289,Account_289,Proposal/Price Quote,2026-09-08,37852
Opportunity_290,Account_290,Proposal/Price Quote,2026-05-11,63908
Opportunity_291,Account_291,Proposal/Price Quote,2026-03-21,98262
Opportunity_292,Account_292,Qualification,2026-09-09,10861
Opportunity_293,Account_293,Proposal/Price Quote,2026-09-30,21816
Opportunity_294,Account_294,Closed Lost,2026-10-18,40514
Opportunity_295,Account_295,Closed Lost,2026-09-24,86344
Opportunity_296,Account_296,Proposal/Price Quote,2026-04-13,53748
Opportunity_297,Account_297,Negotiation/Review,2026-03-13,87947
Opportunity_298,Account_298,Qualification,2026-08-14,51501
Opportunity_299,Account_299,Closed Lost,2026-11-05,11459
Opportunity_300,Account_300,Proposal/Price Quote,2026-07-17,17220
Opportunity_301,Account_301,Negotiation/Review,2026-11-12,71469
Opportunity_302,Account_302,Proposal/Price Quote,2026-08-05,2531
Opportunity_303,Account_303,Proposal/Price Quote,2025-12-29,70796
Opportunity_304,Account_304,Negotiation/Review,2025-12-26,89367
Opportunity_305,Account_305,Closed Won,2026-03-04,19191
Opportunity_306,Account_306,Qualification,2026-03-03,98330
Opportunity_307,Account_307,Negotiation/Review,2026-05-01,4167
Opportunity_308,Account_308,Proposal/Price Quote,2026-01-25,11094
Opportunity_309,Account_309,Closed Won,2026-05-05,25494
Opportunity_310,Account_310,Negotiation/Review,2026-10-18,2156
Opportunity_311,Account_311,Closed Won,2026-11-19,97156
Opportunity_312,Account_312,Closed Lost,2026-03-09,94489
Opportunity_313,Account_313,Proposal/Price Quote,2026-08-27,94560
Opportunity_314,Account_314,Closed Won,2026-09-16,83611
Opportunity_315,Account_315,Closed Won,2026-09-21,63920
Opportunity_316,Account_316,Closed Lost,2026-02-14,44030
Opportunity_317,Account_317,Qualification,2026-08-23,37381
Opportunity_318,Account_318,Qualification,2026-08-20,41553
Opportunity_319,Account_319,Qualification,2026-03-11,51152
Opportunity_320,Account_320,Closed Won,2026-03-22,77918
Opportunity_321,Account_321,Qualification,2026-09-18,31074
Opportunity_322,Account_322,Closed Won,2026-01-07,85319
Opportunity_323,Account_323,Negotiation/Review,2026-08-13,37439
Opportunity_324,Account_324,Negotiation/Review,2026-06-09,92516
Opportunity_325,Account_325,Closed Lost,2026-06-08,74739
Opportunity_326,Account_326,Qualification,2026-03-01,41309
Opportunity_327,Account_327,Closed Won,2026-03-09,10771
Opportunity_328,Account_328,Closed Lost,2026-07-04,7408
Opportunity_329,Account_329,Closed Won,2026-11-26,8567
Opportunity_330,Account_330,Closed Lost,2026-09-21,55184
Opportunity_331,Account_331,Closed Won,2026-04-29,97577
Opportunity_332,Account_332,Closed Lost,2026-05-05,81293
Opportunity_333,Account_333,Closed Won,2026-10-23,39344
Opportunity_334,Account_334,Closed Lost,2026-03-16,6175
Opportunity_335,Account_335,Proposal/Price Quote,2026-09-11,29852
Opportunity_336,Account_336,Proposal/Price Quote,2026-06-23,50459
Opportunity_337,Account_337,Proposal/Price Quote,2025-12-24,93324
Opportunity_338,Account_338,Negotiation/Review,2026-02-27,35407
Opportunity_339,Account_339,Negotiation/Review,2025-12-16,79375
Opportunity_340,Account_340,Closed Won,2026-03-15,45822
Opportunity_341,Account_341,Negotiation/Review,2026-06-29,20819
Opportunity_342,Account_342,Qualification,2026-10-16,57181
Opportunity_343,Account_343,Negotiation/Review,2026-11-16,10401
Opportunity_344,Account_344,Negotiation/Review,2026-11-20,83296
Opportunity_345,Account_345,Closed Won,2026-02-06,70916
Opportunity_346,Account_346,Closed Won,2026-11-11,76114
Opportunity_347,Account_347,Closed Lost,2026-10-26,54966
Opportunity_348,Account_348,Qualification,2026-01-30,11896
Opportunity_349,Account_349,Closed Lost,2026-09-26,32768
Opportunity_350,Account_350,Closed Lost,2026-01-29,68642
Opportunity_351,Account_351,Proposal/Price Quote,2026-04-16,15244
Opportunity_352,Account_352,Closed Lost,2026-10-11,28351
Opportunity_353,Account_353,Qualification,2026-03-21,76533
Opportunity_354,Account_354,Closed Won,2026-07-20,93814
Opportunity_355,Account_355,Negotiation/Review,2026-11-17,90677
Opportunity_356,Account_356,Closed Lost,2026-11-27,8796
Opportunity_357,Account_357,Qualification,2026-05-04,32335
Opportunity_358,Account_358,Proposal/Price Quote,2026-10-13,55271
Opportunity_359,Account_359,Negotiation/Review,2026-07-26,99149
Opportunity_360,Account_360,Proposal/Price Quote,2026-06-13,15740
Opportunity_361,Account_361,Qualification,2026-03-11,27057
Opportunity_362,Account_362,Closed Lost,2026-07-26,61768
Opportunity_363,Account_363,Negotiation/Review,2026-10-24,17953
Opportunity_364,Account_364,Qualification,2026-06-25,46862
Opportunity_365,Account_365,Qualification,2026-09-21,45969
Opportunity_366,Account_366,Closed Won,2026-04-18,83452
Opportunity_367,Account_367,Closed Won,2026-01-08,71421
Opportunity_368,Account_368,Closed Won,2026-08-20,46555
Opportunity_369,Account_369,Qualification,2026-07-16,41063
Opportunity_370,Account_370,Closed Lost,2026-07-05,49341
Opportunity_371,Account_371,Closed Lost,2026-07-18,37574
Opportunity_372,Account_372,Closed Won,2026-11-17,85746
Opportunity_373,Account_373,Qualification,2026-01-08,55319
Opportunity_374,Account_374,Proposal/Price Quote,2026-08-21,20439
Opportunity_375,Account_375,Proposal/Price Quote,2026-09-19,88994
Opportunity_376,Account_376,Closed Lost,2026-10-01,79579
Opportunity_377,Account_377,Closed Lost,2026-10-12,91223
Opportunity_378,Account_378,Negotiation/Review,2026-11-21,2584
Opportunity_379,Account_379,Qualification,2026-02-24,64188
Opportunity_380,Account_380,Closed Lost,2026-07-01,56333
Opportunity_381,Account_381,Closed Won,2026-07-31,63886
Opportunity_382,Account_382,Proposal/Price Quote,2026-01-24,37999
Opportunity_383,Account_383,Proposal/Price Quote,2026-08-10,56738
Opportunity_384,Account_384,Closed Lost,2026-05-25,22927
Opportunity_385,Account_385,Closed Lost,2026-10-26,58997
Opportunity_386,Account_386,Closed Lost,2026-11-21,19228
Opportunity_387,Account_387,Qualification,2026-06-23,27802
Opportunity_388,Account_388,Closed Won,2025-12-15,10827
Opportunity_389,Account_389,Closed Lost,2026-01-16,64971
Opportunity_390,Account_390,Closed Won,2026-04-23,56678
Opportunity_391,Account_391,Negotiation/Review,2026-03-25,4344
Opportunity_392,Account_392,Closed Lost,2026-08-22,84028
Opportunity_393,Account_393,Qualification,2026-05-28,28403
Opportunity_394,Account_394,Proposal/Price Quote,2026-02-05,9861
Opportunity_395,Account_395,Closed Won,2026-11-18,52478
Opportunity_396,Account_396,Qualification,2026-06-14,59648
Opportunity_397,Account_397,Proposal/Price Quote,2026-11-04,71204
Opportunity_398,Account_398,Qualification,2026-01-13,77147
Opportunity_399,Account_399,Qualification,2026-02-28,92865
Opportunity_400,Account_400,Qualification,2026-02-15,16149
Opportunity_401,Account_401,Qualification,2026-02-22,58605
Opportunity_402,Account_402,Negotiation/Review,2026-03-29,58897
Opportunity_403,Account_403,Qualification,2026-05-13,80392
Opportunity_404,Account_404,Closed Lost,2026-07-09,9997
Opportunity_405,Account_405,Qualification,2026-10-13,57241
Opportunity_406,Account_406,Qualification,2026-11-17,73762
Opportunity_407,Account_407,Closed Lost,2026-09-08,44045
Opportunity_408,Account_408,Closed Won,2026-11-13,65919
Opportunity_409,Account_409,Closed Won,2026-08-17,87728
Opportunity_410,Account_410,Closed Lost,2026-02-07,88908
Opportunity_411,Account_411,Closed Lost,2026-10-20,97262
Opportunity_412,Account_412,Closed Lost,2026-03-27,60381
Opportunity_413,Account_413,Proposal/Price Quote,2026-08-17,93932
Opportunity_414,Account_414,Closed Lost,2026-01-31,24097
Opportunity_415,Account_415,Proposal/Price Quote,2026-07-25,77363
Opportunity_416,Account_416,Negotiation/Review,2026-01-22,43563
Opportunity_417,Account_417,Qualification,2026-04-29,35712
Opportunity_418,Account_418,Proposal/Price Quote,2025-12-22,8635
Opportunity_419,Account_419,Negotiation/Review,2026-04-08,48840
Opportunity_420,Account_420,Closed Lost,2026-06-10,41649
Opportunity_421,Account_421,Closed Won,2026-09-11,49282
Opportunity_422,Account_422,Closed Lost,2026-05-31,41959
Opportunity_423,Account_423,Negotiation/Review,2026-06-19,51715
Opportunity_424,Account_424,Closed Won,2026-09-10,42297
Opportunity_425,Account_425,Proposal/Price Quote,2026-02-04,45065
Opportunity_426,Account_426,Negotiation/Review,2026-01-30,90370
Opportunity_427,Account_427,Negotiation/Review,2026-08-31,78275
Opportunity_428,Account_428,Negotiation/Review,2026-10-21,11184
Opportunity_429,Account_429,Negotiation/Review,2026-11-21,81351
Opportunity_430,Account_430,Closed Won,2026-09-20,27694
Opportunity_431,Account_431,Negotiation/Review,2026-01-15,92310
Opportunity_432,Account_432,Closed Won,2026-07-20,30317
Opportunity_433,Account_433,Proposal/Price Quote,2026-02-25,86924
Opportunity_434,Account_434,Proposal/Price Quote,2026-08-09,40120
Opportunity_435,Account_435,Proposal/Price Quote,2026-11-28,25082
Opportunity_436,Account_436,Closed Won,2026-09-27,96569
Opportunity_437,Account_437,Closed Lost,2025-12-22,22457
Opportunity_438,Account_438,Closed Won,2025-12-31,8866
Opportunity_439,Account_439,Qualification,2026-03-16,14408
Opportunity_440,Account_440,Negotiation/Review,2026-04-28,41330
Opportunity_441,Account_441,Qualification,2025-12-17,26589
Opportunity_442,Account_442,Qualification,2026-11-30,96217
Opportunity_443,Account_443,Closed Lost,2026-01-04,43501
Opportunity_444,Account_444,Qualification,2026-05-12,29358
Opportunity_445,Account_445,Closed Lost,2026-08-23,9869
Opportunity_446,Account_446,Qualification,2026-07-23,37990
Opportunity_447,Account_447,Closed Won,2026-08-04,92003
Opportunity_448,Account_448,Closed Won,2026-10-21,92105
Opportunity_449,Account_449,Proposal/Price Quote,2026-06-12,3399
Opportunity_450,Account_450,Closed Lost,2026-02-15,17264
Opportunity_451,Account_451,Proposal/Price Quote,2026-09-29,58160
Opportunity_452,Account_452,Qualification,2026-07-01,20400
Opportunity_453,Account_453,Qualification,2026-10-09,88320
Opportunity_454,Account_454,Negotiation/Review,2026-05-29,31712
Opportunity_455,Account_455,Closed Lost,2026-02-17,12616
